sample_name,audio_duration_s,infer_time_s,infer_time_net_s,rtf,rtf_net,skipped,failed
datasets_tiny_set_004066,29.9766,20.7816,8.0547,0.693261,0.2687,False,False
datasets_tiny_set_012060,30.0027,19.9144,7.1875,0.663754,0.239562,False,False
datasets_tiny_set_018037,29.9766,20.5726,7.8457,0.686289,0.261727,False,False
datasets_tiny_set_021676,29.9766,20.4351,7.7082,0.681702,0.257141,False,False
datasets_tiny_set_040233,30.0027,20.4014,7.6745,0.679985,0.255794,False,False
datasets_tiny_set_042138,29.9766,19.9663,7.2394,0.666063,0.241502,False,False
datasets_tiny_set_044__[gel][dru][pop_roc]0951__2,3.0,14.9579,2.231,4.985967,0.743667,False,False
datasets_tiny_set_050446,29.9766,20.7019,7.975,0.690602,0.266041,False,False
datasets_tiny_set_063292,29.989,20.3727,7.6458,0.679339,0.254953,False,False
datasets_tiny_set_080765,29.9766,20.3083,7.5814,0.677472,0.252911,False,False
datasets_tiny_set_083791,29.989,19.9873,7.2604,0.666488,0.242102,False,False
datasets_tiny_set_083898,29.9766,20.9352,8.2083,0.698385,0.273824,False,False
datasets_tiny_set_089376,29.9766,20.3912,7.6643,0.680237,0.255676,False,False
datasets_tiny_set_096627,29.9766,20.3271,7.6002,0.678099,0.253538,False,False
datasets_tiny_set_115697,30.0027,20.4117,7.6848,0.680329,0.256137,False,False
datasets_tiny_set_125289,29.9766,20.2133,7.4864,0.674303,0.249741,False,False
datasets_tiny_set_125816,29.989,20.3436,7.6167,0.678369,0.253983,False,False
datasets_tiny_set_131934,30.0027,20.1232,7.3963,0.670713,0.246521,False,False
datasets_tiny_set_134941,30.0027,20.0814,7.3545,0.66932,0.245128,False,False
datasets_tiny_set_135374,30.0027,19.7689,7.042,0.658904,0.234712,False,False
datasets_tiny_set_145549,30.0027,20.0433,7.3164,0.66805,0.243858,False,False
datasets_tiny_set_159__[flu][nod][cou_fol]0412__1,3.0,14.9767,2.2498,4.992233,0.749933,False,False
datasets_tiny_set_233__[gel][nod][jaz_blu]1124__3,3.0,15.0734,2.3465,5.024467,0.782167,False,False
datasets_tiny_set_238__[voi][nod][cou_fol]2418__2,3.0,15.1617,2.4348,5.0539,0.8116,False,False
datasets_tiny_set_[cel][pop_roc]0006__1,3.0,14.9818,2.2549,4.993933,0.751633,False,False
datasets_tiny_set_[cla][jaz_blu]0210__2,3.0,14.9166,2.1897,4.9722,0.7299,False,False
datasets_tiny_set_[gac][cla]0563__2,3.0,15.079,2.3521,5.026333,0.784033,False,False
datasets_tiny_set_[gac][cla]0582__1,3.0,15.0153,2.2884,5.0051,0.7628,False,False
datasets_tiny_set_[gel][cla]0901__1,3.0,15.1718,2.4449,5.057267,0.814967,False,False
datasets_tiny_set_[gel][pop_roc]1018__3,3.0,15.0702,2.3433,5.0234,0.7811,False,False
datasets_tiny_set_[org][pop_roc]1079__2,3.0,15.016,2.2891,5.005333,0.763033,False,False
datasets_tiny_set_[pia][jaz_blu]1506__3,3.0,15.1263,2.3994,5.0421,0.7998,False,False
datasets_tiny_set_[pia][pop_roc]1335__2,3.0,14.9773,2.2504,4.992433,0.750133,False,False
datasets_tiny_set_[sax][cla]1591__3,3.0,14.9802,2.2533,4.9934,0.7511,False,False
datasets_tiny_set_[sax][pop_roc]1620__1,3.0,15.045,2.3181,5.015,0.7727,False,False
datasets_tiny_set_[tru][cla]1881__2,3.0,15.1145,2.3876,5.038167,0.795867,False,False
datasets_tiny_set_[tru][cla]2012__3,3.0,15.0447,2.3178,5.0149,0.7726,False,False
datasets_tiny_set_[tru][jaz_blu]2022__2,3.0,14.9837,2.2568,4.994567,0.752267,False,False
datasets_tiny_set_[vio][cla]2138__3,3.0,15.2523,2.5254,5.0841,0.8418,False,False
datasets_tiny_set_[vio][pop_roc]2245__1,3.0,14.9894,2.2625,4.996467,0.754167,False,False
